CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Condition,Count,Footnote
013028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,04,Brain disease or condition (non-traumatic),94,
013028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,04,Brain injury (traumatic),41,
013028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,04,Spinal cord disease or condition (non-traumatic),31,
013028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,04,Spinal cord injury (traumatic),less than 11,1
013028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,04,Hip or femur fracture,145,
013028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,04,"Hip or knee replacement, amputation or other bone or joint condition",293,
013028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,04,All other conditions,485,
013029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,107 GOVERNORS DRIVE,,HUNTSVILLE,AL,35801,Madison,(205) 535-2300,04,Stroke,318,
013029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,107 GOVERNORS DRIVE,,HUNTSVILLE,AL,35801,Madison,(205) 535-2300,04,Nervous system disorder (excluding stroke),161,
013029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,107 GOVERNORS DRIVE,,HUNTSVILLE,AL,35801,Madison,(205) 535-2300,04,Brain disease or condition (non-traumatic),80,
013029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,107 GOVERNORS DRIVE,,HUNTSVILLE,AL,35801,Madison,(205) 535-2300,04,Brain injury (traumatic),66,
013029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,107 GOVERNORS DRIVE,,HUNTSVILLE,AL,35801,Madison,(205) 535-2300,04,Spinal cord disease or condition (non-traumatic),59,
013029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,107 GOVERNORS DRIVE,,HUNTSVILLE,AL,35801,Madison,(205) 535-2300,04,Spinal cord injury (traumatic),less than 11,1
013029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,107 GOVERNORS DRIVE,,HUNTSVILLE,AL,35801,Madison,(205) 535-2300,04,Hip or femur fracture,90,
013029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,107 GOVERNORS DRIVE,,HUNTSVILLE,AL,35801,Madison,(205) 535-2300,04,"Hip or knee replacement, amputation or other bone or joint condition",250,
013029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,107 GOVERNORS DRIVE,,HUNTSVILLE,AL,35801,Madison,(205) 535-2300,04,All other conditions,333,
013030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,,DOTHAN,AL,36301,Houston,(334) 712-6333,04,Stroke,251,
013030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,,DOTHAN,AL,36301,Houston,(334) 712-6333,04,Nervous system disorder (excluding stroke),125,
013030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,,DOTHAN,AL,36301,Houston,(334) 712-6333,04,Brain disease or condition (non-traumatic),416,
013030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,,DOTHAN,AL,36301,Houston,(334) 712-6333,04,Brain injury (traumatic),159,
013030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,,DOTHAN,AL,36301,Houston,(334) 712-6333,04,Spinal cord disease or condition (non-traumatic),69,
013030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,,DOTHAN,AL,36301,Houston,(334) 712-6333,04,Spinal cord injury (traumatic),less than 11,1
013030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,,DOTHAN,AL,36301,Houston,(334) 712-6333,04,Hip or femur fracture,74,
013030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,,DOTHAN,AL,36301,Houston,(334) 712-6333,04,"Hip or knee replacement, amputation or other bone or joint condition",159,
013030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,,DOTHAN,AL,36301,Houston,(334) 712-6333,04,All other conditions,150,
013031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,,PELHAM,AL,35124,Shelby,(205) 216-7621,04,Stroke,91,
013031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,,PELHAM,AL,35124,Shelby,(205) 216-7621,04,Nervous system disorder (excluding stroke),152,
013031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,,PELHAM,AL,35124,Shelby,(205) 216-7621,04,Brain disease or condition (non-traumatic),61,
013031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,,PELHAM,AL,35124,Shelby,(205) 216-7621,04,Brain injury (traumatic),19,
013031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,,PELHAM,AL,35124,Shelby,(205) 216-7621,04,Spinal cord disease or condition (non-traumatic),13,
013031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,,PELHAM,AL,35124,Shelby,(205) 216-7621,04,Spinal cord injury (traumatic),less than 11,1
013031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,,PELHAM,AL,35124,Shelby,(205) 216-7621,04,Hip or femur fracture,82,
013031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,,PELHAM,AL,35124,Shelby,(205) 216-7621,04,"Hip or knee replacement, amputation or other bone or joint condition",135,
013031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,,PELHAM,AL,35124,Shelby,(205) 216-7621,04,All other conditions,146,
013032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,GADSDEN,AL,35903,Etowah,(256) 439-5000,04,Stroke,207,
013032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,GADSDEN,AL,35903,Etowah,(256) 439-5000,04,Nervous system disorder (excluding stroke),140,
013032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,GADSDEN,AL,35903,Etowah,(256) 439-5000,04,Brain disease or condition (non-traumatic),74,
013032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,GADSDEN,AL,35903,Etowah,(256) 439-5000,04,Brain injury (traumatic),32,
013032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,GADSDEN,AL,35903,Etowah,(256) 439-5000,04,Spinal cord disease or condition (non-traumatic),41,
013032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,GADSDEN,AL,35903,Etowah,(256) 439-5000,04,Spinal cord injury (traumatic),less than 11,1
013032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,GADSDEN,AL,35903,Etowah,(256) 439-5000,04,Hip or femur fracture,89,
013032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,GADSDEN,AL,35903,Etowah,(256) 439-5000,04,"Hip or knee replacement, amputation or other bone or joint condition",179,
013032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,GADSDEN,AL,35903,Etowah,(256) 439-5000,04,All other conditions,270,
013033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,,PHENIX CITY,AL,36867,Russell,(334) 732-2200,04,Stroke,230,
013033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,,PHENIX CITY,AL,36867,Russell,(334) 732-2200,04,Nervous system disorder (excluding stroke),317,
013033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,,PHENIX CITY,AL,36867,Russell,(334) 732-2200,04,Brain disease or condition (non-traumatic),136,
013033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,,PHENIX CITY,AL,36867,Russell,(334) 732-2200,04,Brain injury (traumatic),25,
013033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,,PHENIX CITY,AL,36867,Russell,(334) 732-2200,04,Spinal cord disease or condition (non-traumatic),34,
013033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,,PHENIX CITY,AL,36867,Russell,(334) 732-2200,04,Spinal cord injury (traumatic),less than 11,1
013033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,,PHENIX CITY,AL,36867,Russell,(334) 732-2200,04,Hip or femur fracture,108,
013033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,,PHENIX CITY,AL,36867,Russell,(334) 732-2200,04,"Hip or knee replacement, amputation or other bone or joint condition",331,
013033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,,PHENIX CITY,AL,36867,Russell,(334) 732-2200,04,All other conditions,344,
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,04,Stroke,58,
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,04,Nervous system disorder (excluding stroke),less than 11,1
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,04,Brain disease or condition (non-traumatic),22,
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,04,Brain injury (traumatic),less than 11,1
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,04,Spinal cord disease or condition (non-traumatic),less than 11,1
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,04,Spinal cord injury (traumatic),less than 11,1
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,04,Hip or femur fracture,57,
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,04,"Hip or knee replacement, amputation or other bone or joint condition",31,
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,04,All other conditions,25,
01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,,OPELIKA,AL,36801,Lee,(502) 596-6346,04,Stroke,74,
01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,,OPELIKA,AL,36801,Lee,(502) 596-6346,04,Nervous system disorder (excluding stroke),13,
01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,,OPELIKA,AL,36801,Lee,(502) 596-6346,04,Brain disease or condition (non-traumatic),19,
01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,,OPELIKA,AL,36801,Lee,(502) 596-6346,04,Brain injury (traumatic),13,
01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,,OPELIKA,AL,36801,Lee,(502) 596-6346,04,Spinal cord disease or condition (non-traumatic),less than 11,1
01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,,OPELIKA,AL,36801,Lee,(502) 596-6346,04,Spinal cord injury (traumatic),Not Available,2
01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,,OPELIKA,AL,36801,Lee,(502) 596-6346,04,Hip or femur fracture,40,
01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,,OPELIKA,AL,36801,Lee,(502) 596-6346,04,"Hip or knee replacement, amputation or other bone or joint condition",28,
01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,,OPELIKA,AL,36801,Lee,(502) 596-6346,04,All other conditions,97,
01T033,SPAIN REHABILITATION CENTER,SRC 223E,,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,04,Stroke,75,
01T033,SPAIN REHABILITATION CENTER,SRC 223E,,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,04,Nervous system disorder (excluding stroke),26,
01T033,SPAIN REHABILITATION CENTER,SRC 223E,,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,04,Brain disease or condition (non-traumatic),55,
01T033,SPAIN REHABILITATION CENTER,SRC 223E,,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,04,Brain injury (traumatic),22,
01T033,SPAIN REHABILITATION CENTER,SRC 223E,,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,04,Spinal cord disease or condition (non-traumatic),50,
01T033,SPAIN REHABILITATION CENTER,SRC 223E,,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,04,Spinal cord injury (traumatic),17,
01T033,SPAIN REHABILITATION CENTER,SRC 223E,,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,04,Hip or femur fracture,35,
01T033,SPAIN REHABILITATION CENTER,SRC 223E,,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,04,"Hip or knee replacement, amputation or other bone or joint condition",71,
01T033,SPAIN REHABILITATION CENTER,SRC 223E,,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,04,All other conditions,113,
01T092,DCH REHABILITATION CENTER,"809 UNIVERSITY BLVD, EAST",,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 333-4362,04,Stroke,176,
01T092,DCH REHABILITATION CENTER,"809 UNIVERSITY BLVD, EAST",,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 333-4362,04,Nervous system disorder (excluding stroke),101,
01T092,DCH REHABILITATION CENTER,"809 UNIVERSITY BLVD, EAST",,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 333-4362,04,Brain disease or condition (non-traumatic),26,
01T092,DCH REHABILITATION CENTER,"809 UNIVERSITY BLVD, EAST",,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 333-4362,04,Brain injury (traumatic),31,
01T092,DCH REHABILITATION CENTER,"809 UNIVERSITY BLVD, EAST",,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 333-4362,04,Spinal cord disease or condition (non-traumatic),27,
01T092,DCH REHABILITATION CENTER,"809 UNIVERSITY BLVD, EAST",,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 333-4362,04,Spinal cord injury (traumatic),less than 11,1
01T092,DCH REHABILITATION CENTER,"809 UNIVERSITY BLVD, EAST",,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 333-4362,04,Hip or femur fracture,28,
01T092,DCH REHABILITATION CENTER,"809 UNIVERSITY BLVD, EAST",,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 333-4362,04,"Hip or knee replacement, amputation or other bone or joint condition",89,
01T092,DCH REHABILITATION CENTER,"809 UNIVERSITY BLVD, EAST",,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 333-4362,04,All other conditions,141,
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE,,FAIRHOPE,AL,36533,Baldwin,(251) 435-3417,04,Stroke,82,
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE,,FAIRHOPE,AL,36533,Baldwin,(251) 435-3417,04,Nervous system disorder (excluding stroke),less than 11,1
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE,,FAIRHOPE,AL,36533,Baldwin,(251) 435-3417,04,Brain disease or condition (non-traumatic),less than 11,1
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE,,FAIRHOPE,AL,36533,Baldwin,(251) 435-3417,04,Brain injury (traumatic),less than 11,1
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE,,FAIRHOPE,AL,36533,Baldwin,(251) 435-3417,04,Spinal cord disease or condition (non-traumatic),13,
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE,,FAIRHOPE,AL,36533,Baldwin,(251) 435-3417,04,Spinal cord injury (traumatic),less than 11,1
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE,,FAIRHOPE,AL,36533,Baldwin,(251) 435-3417,04,Hip or femur fracture,14,
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE,,FAIRHOPE,AL,36533,Baldwin,(251) 435-3417,04,"Hip or knee replacement, amputation or other bone or joint condition",28,
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE,,FAIRHOPE,AL,36533,Baldwin,(251) 435-3417,04,All other conditions,80,
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,,BIRMINGHAM,AL,35243,Jefferson,(205) 971-4520,04,Stroke,67,
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,,BIRMINGHAM,AL,35243,Jefferson,(205) 971-4520,04,Nervous system disorder (excluding stroke),20,
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,,BIRMINGHAM,AL,35243,Jefferson,(205) 971-4520,04,Brain disease or condition (non-traumatic),20,
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,,BIRMINGHAM,AL,35243,Jefferson,(205) 971-4520,04,Brain injury (traumatic),19,
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,,BIRMINGHAM,AL,35243,Jefferson,(205) 971-4520,04,Spinal cord disease or condition (non-traumatic),36,
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,,BIRMINGHAM,AL,35243,Jefferson,(205) 971-4520,04,Spinal cord injury (traumatic),less than 11,1
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,,BIRMINGHAM,AL,35243,Jefferson,(205) 971-4520,04,Hip or femur fracture,79,
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,,BIRMINGHAM,AL,35243,Jefferson,(205) 971-4520,04,"Hip or knee replacement, amputation or other bone or joint condition",114,
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,,BIRMINGHAM,AL,35243,Jefferson,(205) 971-4520,04,All other conditions,51,
01T113,MOBILE INFIRMARY,POB 2144,,MOBILE,AL,36652,Mobile,(251) 435-3400,04,Stroke,162,
01T113,MOBILE INFIRMARY,POB 2144,,MOBILE,AL,36652,Mobile,(251) 435-3400,04,Nervous system disorder (excluding stroke),15,
01T113,MOBILE INFIRMARY,POB 2144,,MOBILE,AL,36652,Mobile,(251) 435-3400,04,Brain disease or condition (non-traumatic),21,
01T113,MOBILE INFIRMARY,POB 2144,,MOBILE,AL,36652,Mobile,(251) 435-3400,04,Brain injury (traumatic),18,
01T113,MOBILE INFIRMARY,POB 2144,,MOBILE,AL,36652,Mobile,(251) 435-3400,04,Spinal cord disease or condition (non-traumatic),34,
01T113,MOBILE INFIRMARY,POB 2144,,MOBILE,AL,36652,Mobile,(251) 435-3400,04,Spinal cord injury (traumatic),12,
01T113,MOBILE INFIRMARY,POB 2144,,MOBILE,AL,36652,Mobile,(251) 435-3400,04,Hip or femur fracture,15,
01T113,MOBILE INFIRMARY,POB 2144,,MOBILE,AL,36652,Mobile,(251) 435-3400,04,"Hip or knee replacement, amputation or other bone or joint condition",71,
01T113,MOBILE INFIRMARY,POB 2144,,MOBILE,AL,36652,Mobile,(251) 435-3400,04,All other conditions,115,
01T114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,995 9TH AVENUE SOUTHWEST,,BESSEMER,AL,35022,Jefferson,(205) 481-7287,04,Stroke,41,
01T114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,995 9TH AVENUE SOUTHWEST,,BESSEMER,AL,35022,Jefferson,(205) 481-7287,04,Nervous system disorder (excluding stroke),12,
01T114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,995 9TH AVENUE SOUTHWEST,,BESSEMER,AL,35022,Jefferson,(205) 481-7287,04,Brain disease or condition (non-traumatic),less than 11,1
01T114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,995 9TH AVENUE SOUTHWEST,,BESSEMER,AL,35022,Jefferson,(205) 481-7287,04,Brain injury (traumatic),less than 11,1
01T114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,995 9TH AVENUE SOUTHWEST,,BESSEMER,AL,35022,Jefferson,(205) 481-7287,04,Spinal cord disease or condition (non-traumatic),less than 11,1
01T114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,995 9TH AVENUE SOUTHWEST,,BESSEMER,AL,35022,Jefferson,(205) 481-7287,04,Spinal cord injury (traumatic),Not Available,2
01T114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,995 9TH AVENUE SOUTHWEST,,BESSEMER,AL,35022,Jefferson,(205) 481-7287,04,Hip or femur fracture,33,
01T114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,995 9TH AVENUE SOUTHWEST,,BESSEMER,AL,35022,Jefferson,(205) 481-7287,04,"Hip or knee replacement, amputation or other bone or joint condition",53,
01T114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,995 9TH AVENUE SOUTHWEST,,BESSEMER,AL,35022,Jefferson,(205) 481-7287,04,All other conditions,56,
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR,,HOMEWOOD,AL,35209,Jefferson,(205) 877-1600,04,Stroke,100,
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR,,HOMEWOOD,AL,35209,Jefferson,(205) 877-1600,04,Nervous system disorder (excluding stroke),142,
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR,,HOMEWOOD,AL,35209,Jefferson,(205) 877-1600,04,Brain disease or condition (non-traumatic),31,
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR,,HOMEWOOD,AL,35209,Jefferson,(205) 877-1600,04,Brain injury (traumatic),24,
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR,,HOMEWOOD,AL,35209,Jefferson,(205) 877-1600,04,Spinal cord disease or condition (non-traumatic),17,
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR,,HOMEWOOD,AL,35209,Jefferson,(205) 877-1600,04,Spinal cord injury (traumatic),less than 11,1
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR,,HOMEWOOD,AL,35209,Jefferson,(205) 877-1600,04,Hip or femur fracture,48,
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR,,HOMEWOOD,AL,35209,Jefferson,(205) 877-1600,04,"Hip or knee replacement, amputation or other bone or joint condition",93,
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR,,HOMEWOOD,AL,35209,Jefferson,(205) 877-1600,04,All other conditions,167,
01T144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,,MOBILE,AL,36608,Mobile,(502) 596-6346,04,Stroke,70,
01T144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,,MOBILE,AL,36608,Mobile,(502) 596-6346,04,Nervous system disorder (excluding stroke),13,
01T144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,,MOBILE,AL,36608,Mobile,(502) 596-6346,04,Brain disease or condition (non-traumatic),less than 11,1
01T144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,,MOBILE,AL,36608,Mobile,(502) 596-6346,04,Brain injury (traumatic),less than 11,1
