CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Condition,Count,Footnote
34T008,CENTER FOR INPATIENT REHAB,500 LAUCHWOOD DR,-,LAURINBURG,NC,28352,Scotland,(910) 291-7327,4,Stroke,Not Available,2
34T014,WHITAKER REHABILITATION CENTER,3333 SILAS CREEK PARKWAY,-,WINSTON SALEM,NC,27103,Forsyth,(336) 718-1629,4,All other conditions,Not Available,2
34T014,WHITAKER REHABILITATION CENTER,3333 SILAS CREEK PARKWAY,-,WINSTON SALEM,NC,27103,Forsyth,(336) 718-1629,4,Brain disease or condition (non-traumatic),Not Available,2
34T014,WHITAKER REHABILITATION CENTER,3333 SILAS CREEK PARKWAY,-,WINSTON SALEM,NC,27103,Forsyth,(336) 718-1629,4,Brain injury (traumatic),Not Available,2
34T014,WHITAKER REHABILITATION CENTER,3333 SILAS CREEK PARKWAY,-,WINSTON SALEM,NC,27103,Forsyth,(336) 718-1629,4,Hip or femur fracture,Not Available,2
34T014,WHITAKER REHABILITATION CENTER,3333 SILAS CREEK PARKWAY,-,WINSTON SALEM,NC,27103,Forsyth,(336) 718-1629,4,"Hip or knee replacement, amputation or other bone or joint condition",Not Available,2
34T014,WHITAKER REHABILITATION CENTER,3333 SILAS CREEK PARKWAY,-,WINSTON SALEM,NC,27103,Forsyth,(336) 718-1629,4,Nervous system disorder (excluding stroke),Not Available,2
34T014,WHITAKER REHABILITATION CENTER,3333 SILAS CREEK PARKWAY,-,WINSTON SALEM,NC,27103,Forsyth,(336) 718-1629,4,Spinal cord disease or condition (non-traumatic),Not Available,2
34T014,WHITAKER REHABILITATION CENTER,3333 SILAS CREEK PARKWAY,-,WINSTON SALEM,NC,27103,Forsyth,(336) 718-1629,4,Spinal cord injury (traumatic),Not Available,2
34T014,WHITAKER REHABILITATION CENTER,3333 SILAS CREEK PARKWAY,-,WINSTON SALEM,NC,27103,Forsyth,(336) 718-1629,4,Stroke,Not Available,2
34T015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVENUE,-,SALISBURY,NC,28114,Rowan,(704) 210-5308,4,All other conditions,Less than 11,1
34T015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVENUE,-,SALISBURY,NC,28114,Rowan,(704) 210-5308,4,Brain disease or condition (non-traumatic),Less than 11,1
34T015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVENUE,-,SALISBURY,NC,28114,Rowan,(704) 210-5308,4,Brain injury (traumatic),Not Available,2
34T015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVENUE,-,SALISBURY,NC,28114,Rowan,(704) 210-5308,4,Hip or femur fracture,13,-
34T015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVENUE,-,SALISBURY,NC,28114,Rowan,(704) 210-5308,4,"Hip or knee replacement, amputation or other bone or joint condition",14,-
34T015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVENUE,-,SALISBURY,NC,28114,Rowan,(704) 210-5308,4,Nervous system disorder (excluding stroke),50,-
34T015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVENUE,-,SALISBURY,NC,28114,Rowan,(704) 210-5308,4,Spinal cord disease or condition (non-traumatic),12,-
34T015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVENUE,-,SALISBURY,NC,28114,Rowan,(704) 210-5308,4,Spinal cord injury (traumatic),Not Available,2
34T015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVENUE,-,SALISBURY,NC,28114,Rowan,(704) 210-5308,4,Stroke,32,-
34T027,LENOIR MEMORIAL HOSPITAL REHAB UNIT,100 AIRPORT RD,-,KINSTON,NC,28501,Lenoir,(252) 522-7772,4,All other conditions,64,-
34T027,LENOIR MEMORIAL HOSPITAL REHAB UNIT,100 AIRPORT RD,-,KINSTON,NC,28501,Lenoir,(252) 522-7772,4,Brain disease or condition (non-traumatic),Less than 11,1
34T027,LENOIR MEMORIAL HOSPITAL REHAB UNIT,100 AIRPORT RD,-,KINSTON,NC,28501,Lenoir,(252) 522-7772,4,Brain injury (traumatic),Less than 11,1
34T027,LENOIR MEMORIAL HOSPITAL REHAB UNIT,100 AIRPORT RD,-,KINSTON,NC,28501,Lenoir,(252) 522-7772,4,Hip or femur fracture,27,-
34T027,LENOIR MEMORIAL HOSPITAL REHAB UNIT,100 AIRPORT RD,-,KINSTON,NC,28501,Lenoir,(252) 522-7772,4,"Hip or knee replacement, amputation or other bone or joint condition",23,-
34T027,LENOIR MEMORIAL HOSPITAL REHAB UNIT,100 AIRPORT RD,-,KINSTON,NC,28501,Lenoir,(252) 522-7772,4,Nervous system disorder (excluding stroke),24,-
34T027,LENOIR MEMORIAL HOSPITAL REHAB UNIT,100 AIRPORT RD,-,KINSTON,NC,28501,Lenoir,(252) 522-7772,4,Spinal cord disease or condition (non-traumatic),Less than 11,1
34T027,LENOIR MEMORIAL HOSPITAL REHAB UNIT,100 AIRPORT RD,-,KINSTON,NC,28501,Lenoir,(252) 522-7772,4,Spinal cord injury (traumatic),Not Available,2
34T027,LENOIR MEMORIAL HOSPITAL REHAB UNIT,100 AIRPORT RD,-,KINSTON,NC,28501,Lenoir,(252) 522-7772,4,Stroke,64,-
34T028,CAPE FEAR VALLEY REHABILITATION CENTER,1638 OWEN DRIVE,-,FAYETTEVILLE,NC,28302,Cumberland,(910) 615-6843,4,All other conditions,124,-
34T028,CAPE FEAR VALLEY REHABILITATION CENTER,1638 OWEN DRIVE,-,FAYETTEVILLE,NC,28302,Cumberland,(910) 615-6843,4,Brain disease or condition (non-traumatic),67,-
34T028,CAPE FEAR VALLEY REHABILITATION CENTER,1638 OWEN DRIVE,-,FAYETTEVILLE,NC,28302,Cumberland,(910) 615-6843,4,Brain injury (traumatic),15,-
34T028,CAPE FEAR VALLEY REHABILITATION CENTER,1638 OWEN DRIVE,-,FAYETTEVILLE,NC,28302,Cumberland,(910) 615-6843,4,Hip or femur fracture,68,-
34T028,CAPE FEAR VALLEY REHABILITATION CENTER,1638 OWEN DRIVE,-,FAYETTEVILLE,NC,28302,Cumberland,(910) 615-6843,4,"Hip or knee replacement, amputation or other bone or joint condition",136,-
34T028,CAPE FEAR VALLEY REHABILITATION CENTER,1638 OWEN DRIVE,-,FAYETTEVILLE,NC,28302,Cumberland,(910) 615-6843,4,Nervous system disorder (excluding stroke),31,-
34T028,CAPE FEAR VALLEY REHABILITATION CENTER,1638 OWEN DRIVE,-,FAYETTEVILLE,NC,28302,Cumberland,(910) 615-6843,4,Spinal cord disease or condition (non-traumatic),34,-
34T028,CAPE FEAR VALLEY REHABILITATION CENTER,1638 OWEN DRIVE,-,FAYETTEVILLE,NC,28302,Cumberland,(910) 615-6843,4,Spinal cord injury (traumatic),Less than 11,1
34T028,CAPE FEAR VALLEY REHABILITATION CENTER,1638 OWEN DRIVE,-,FAYETTEVILLE,NC,28302,Cumberland,(910) 615-6843,4,Stroke,120,-
34T040,PITT COUNTY MEMORIAL HOSPITAL,PO BOX 8447,-,GREENVILLE,NC,27835,Pitt,(252) 847-0873,4,All other conditions,275,-
34T040,PITT COUNTY MEMORIAL HOSPITAL,PO BOX 8447,-,GREENVILLE,NC,27835,Pitt,(252) 847-0873,4,Brain disease or condition (non-traumatic),72,-
34T040,PITT COUNTY MEMORIAL HOSPITAL,PO BOX 8447,-,GREENVILLE,NC,27835,Pitt,(252) 847-0873,4,Brain injury (traumatic),78,-
34T040,PITT COUNTY MEMORIAL HOSPITAL,PO BOX 8447,-,GREENVILLE,NC,27835,Pitt,(252) 847-0873,4,Hip or femur fracture,62,-
34T040,PITT COUNTY MEMORIAL HOSPITAL,PO BOX 8447,-,GREENVILLE,NC,27835,Pitt,(252) 847-0873,4,"Hip or knee replacement, amputation or other bone or joint condition",151,-
34T040,PITT COUNTY MEMORIAL HOSPITAL,PO BOX 8447,-,GREENVILLE,NC,27835,Pitt,(252) 847-0873,4,Nervous system disorder (excluding stroke),48,-
34T040,PITT COUNTY MEMORIAL HOSPITAL,PO BOX 8447,-,GREENVILLE,NC,27835,Pitt,(252) 847-0873,4,Spinal cord disease or condition (non-traumatic),47,-
34T040,PITT COUNTY MEMORIAL HOSPITAL,PO BOX 8447,-,GREENVILLE,NC,27835,Pitt,(252) 847-0873,4,Spinal cord injury (traumatic),18,-
34T040,PITT COUNTY MEMORIAL HOSPITAL,PO BOX 8447,-,GREENVILLE,NC,27835,Pitt,(252) 847-0873,4,Stroke,287,-
34T047,NORTH CAROLINA BAPTIST HOSPITALS,MEDICAL CENTER BLVD,-,WINSTON SALEM,NC,27157,Forsyth,(336) 713-8328,4,All other conditions,50,-
34T047,NORTH CAROLINA BAPTIST HOSPITALS,MEDICAL CENTER BLVD,-,WINSTON SALEM,NC,27157,Forsyth,(336) 713-8328,4,Brain disease or condition (non-traumatic),29,-
34T047,NORTH CAROLINA BAPTIST HOSPITALS,MEDICAL CENTER BLVD,-,WINSTON SALEM,NC,27157,Forsyth,(336) 713-8328,4,Brain injury (traumatic),15,-
34T047,NORTH CAROLINA BAPTIST HOSPITALS,MEDICAL CENTER BLVD,-,WINSTON SALEM,NC,27157,Forsyth,(336) 713-8328,4,Hip or femur fracture,34,-
34T047,NORTH CAROLINA BAPTIST HOSPITALS,MEDICAL CENTER BLVD,-,WINSTON SALEM,NC,27157,Forsyth,(336) 713-8328,4,"Hip or knee replacement, amputation or other bone or joint condition",89,-
34T047,NORTH CAROLINA BAPTIST HOSPITALS,MEDICAL CENTER BLVD,-,WINSTON SALEM,NC,27157,Forsyth,(336) 713-8328,4,Nervous system disorder (excluding stroke),Less than 11,1
34T047,NORTH CAROLINA BAPTIST HOSPITALS,MEDICAL CENTER BLVD,-,WINSTON SALEM,NC,27157,Forsyth,(336) 713-8328,4,Spinal cord disease or condition (non-traumatic),38,-
34T047,NORTH CAROLINA BAPTIST HOSPITALS,MEDICAL CENTER BLVD,-,WINSTON SALEM,NC,27157,Forsyth,(336) 713-8328,4,Spinal cord injury (traumatic),13,-
34T047,NORTH CAROLINA BAPTIST HOSPITALS,MEDICAL CENTER BLVD,-,WINSTON SALEM,NC,27157,Forsyth,(336) 713-8328,4,Stroke,105,-
34T053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE BOX 33549,-,CHARLOTTE,NC,28233,Mecklenburg,(704) 384-4000,4,All other conditions,Less than 11,1
34T053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE BOX 33549,-,CHARLOTTE,NC,28233,Mecklenburg,(704) 384-4000,4,Brain disease or condition (non-traumatic),Less than 11,1
34T053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE BOX 33549,-,CHARLOTTE,NC,28233,Mecklenburg,(704) 384-4000,4,Brain injury (traumatic),Less than 11,1
34T053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE BOX 33549,-,CHARLOTTE,NC,28233,Mecklenburg,(704) 384-4000,4,Hip or femur fracture,13,-
34T053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE BOX 33549,-,CHARLOTTE,NC,28233,Mecklenburg,(704) 384-4000,4,"Hip or knee replacement, amputation or other bone or joint condition",13,-
34T053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE BOX 33549,-,CHARLOTTE,NC,28233,Mecklenburg,(704) 384-4000,4,Nervous system disorder (excluding stroke),32,-
34T053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE BOX 33549,-,CHARLOTTE,NC,28233,Mecklenburg,(704) 384-4000,4,Spinal cord disease or condition (non-traumatic),12,-
34T053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE BOX 33549,-,CHARLOTTE,NC,28233,Mecklenburg,(704) 384-4000,4,Spinal cord injury (traumatic),Less than 11,1
34T053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE BOX 33549,-,CHARLOTTE,NC,28233,Mecklenburg,(704) 384-4000,4,Stroke,42,-
34T061,UNC HOSPITALS INPATIENT REHAB,101 MANNING DR,-,CHAPEL HILL,NC,27514,Orange,(919) 984-5306,4,All other conditions,152,-
34T061,UNC HOSPITALS INPATIENT REHAB,101 MANNING DR,-,CHAPEL HILL,NC,27514,Orange,(919) 984-5306,4,Brain disease or condition (non-traumatic),44,-
34T061,UNC HOSPITALS INPATIENT REHAB,101 MANNING DR,-,CHAPEL HILL,NC,27514,Orange,(919) 984-5306,4,Brain injury (traumatic),20,-
34T061,UNC HOSPITALS INPATIENT REHAB,101 MANNING DR,-,CHAPEL HILL,NC,27514,Orange,(919) 984-5306,4,Hip or femur fracture,27,-
34T061,UNC HOSPITALS INPATIENT REHAB,101 MANNING DR,-,CHAPEL HILL,NC,27514,Orange,(919) 984-5306,4,"Hip or knee replacement, amputation or other bone or joint condition",77,-
34T061,UNC HOSPITALS INPATIENT REHAB,101 MANNING DR,-,CHAPEL HILL,NC,27514,Orange,(919) 984-5306,4,Nervous system disorder (excluding stroke),25,-
34T061,UNC HOSPITALS INPATIENT REHAB,101 MANNING DR,-,CHAPEL HILL,NC,27514,Orange,(919) 984-5306,4,Spinal cord disease or condition (non-traumatic),40,-
34T061,UNC HOSPITALS INPATIENT REHAB,101 MANNING DR,-,CHAPEL HILL,NC,27514,Orange,(919) 984-5306,4,Spinal cord injury (traumatic),13,-
34T061,UNC HOSPITALS INPATIENT REHAB,101 MANNING DR,-,CHAPEL HILL,NC,27514,Orange,(919) 984-5306,4,Stroke,119,-
34T069,WAKEMED REHAB,3000 NEW BERN AVE.,-,RALEIGH,NC,27610,Wake,(919) 350-8864,4,All other conditions,150,-
34T069,WAKEMED REHAB,3000 NEW BERN AVE.,-,RALEIGH,NC,27610,Wake,(919) 350-8864,4,Brain disease or condition (non-traumatic),56,-
34T069,WAKEMED REHAB,3000 NEW BERN AVE.,-,RALEIGH,NC,27610,Wake,(919) 350-8864,4,Brain injury (traumatic),52,-
34T069,WAKEMED REHAB,3000 NEW BERN AVE.,-,RALEIGH,NC,27610,Wake,(919) 350-8864,4,Hip or femur fracture,76,-
34T069,WAKEMED REHAB,3000 NEW BERN AVE.,-,RALEIGH,NC,27610,Wake,(919) 350-8864,4,"Hip or knee replacement, amputation or other bone or joint condition",156,-
34T069,WAKEMED REHAB,3000 NEW BERN AVE.,-,RALEIGH,NC,27610,Wake,(919) 350-8864,4,Nervous system disorder (excluding stroke),38,-
34T069,WAKEMED REHAB,3000 NEW BERN AVE.,-,RALEIGH,NC,27610,Wake,(919) 350-8864,4,Spinal cord disease or condition (non-traumatic),70,-
34T069,WAKEMED REHAB,3000 NEW BERN AVE.,-,RALEIGH,NC,27610,Wake,(919) 350-8864,4,Spinal cord injury (traumatic),33,-
34T069,WAKEMED REHAB,3000 NEW BERN AVE.,-,RALEIGH,NC,27610,Wake,(919) 350-8864,4,Stroke,261,-
34T091,MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM STREET,-,GREENSBORO,NC,27401,Guilford,(336) 832-7000,4,All other conditions,90,-
34T091,MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM STREET,-,GREENSBORO,NC,27401,Guilford,(336) 832-7000,4,Brain disease or condition (non-traumatic),28,-
34T091,MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM STREET,-,GREENSBORO,NC,27401,Guilford,(336) 832-7000,4,Brain injury (traumatic),33,-
34T091,MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM STREET,-,GREENSBORO,NC,27401,Guilford,(336) 832-7000,4,Hip or femur fracture,31,-
34T091,MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM STREET,-,GREENSBORO,NC,27401,Guilford,(336) 832-7000,4,"Hip or knee replacement, amputation or other bone or joint condition",83,-
34T091,MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM STREET,-,GREENSBORO,NC,27401,Guilford,(336) 832-7000,4,Nervous system disorder (excluding stroke),29,-
34T091,MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM STREET,-,GREENSBORO,NC,27401,Guilford,(336) 832-7000,4,Spinal cord disease or condition (non-traumatic),28,-
34T091,MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM STREET,-,GREENSBORO,NC,27401,Guilford,(336) 832-7000,4,Spinal cord injury (traumatic),Less than 11,1
34T091,MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM STREET,-,GREENSBORO,NC,27401,Guilford,(336) 832-7000,4,Stroke,280,-
34T097,REGIONAL REHAB CENTER AT HUGH CHATHAM,700 JOHNSON RIDGE ROAD,-,ELKIN,NC,28621,Surry,(336) 527-7052,4,All other conditions,Not Available,2
34T097,REGIONAL REHAB CENTER AT HUGH CHATHAM,700 JOHNSON RIDGE ROAD,-,ELKIN,NC,28621,Surry,(336) 527-7052,4,Brain disease or condition (non-traumatic),Not Available,2
34T097,REGIONAL REHAB CENTER AT HUGH CHATHAM,700 JOHNSON RIDGE ROAD,-,ELKIN,NC,28621,Surry,(336) 527-7052,4,Brain injury (traumatic),Not Available,2
34T097,REGIONAL REHAB CENTER AT HUGH CHATHAM,700 JOHNSON RIDGE ROAD,-,ELKIN,NC,28621,Surry,(336) 527-7052,4,Hip or femur fracture,Not Available,2
34T097,REGIONAL REHAB CENTER AT HUGH CHATHAM,700 JOHNSON RIDGE ROAD,-,ELKIN,NC,28621,Surry,(336) 527-7052,4,"Hip or knee replacement, amputation or other bone or joint condition",Not Available,2
34T097,REGIONAL REHAB CENTER AT HUGH CHATHAM,700 JOHNSON RIDGE ROAD,-,ELKIN,NC,28621,Surry,(336) 527-7052,4,Nervous system disorder (excluding stroke),Not Available,2
34T097,REGIONAL REHAB CENTER AT HUGH CHATHAM,700 JOHNSON RIDGE ROAD,-,ELKIN,NC,28621,Surry,(336) 527-7052,4,Spinal cord disease or condition (non-traumatic),Not Available,2
34T097,REGIONAL REHAB CENTER AT HUGH CHATHAM,700 JOHNSON RIDGE ROAD,-,ELKIN,NC,28621,Surry,(336) 527-7052,4,Spinal cord injury (traumatic),Not Available,2
34T097,REGIONAL REHAB CENTER AT HUGH CHATHAM,700 JOHNSON RIDGE ROAD,-,ELKIN,NC,28621,Surry,(336) 527-7052,4,Stroke,Not Available,2
34T098,CAROLINAS MEDICAL CENTER - PINEVILLE REHABILITATIO,10628 PARK ROAD,-,CHARLOTTE,NC,28210,Mecklenburg,(704) 355-4602,4,All other conditions,152,-
34T098,CAROLINAS MEDICAL CENTER - PINEVILLE REHABILITATIO,10628 PARK ROAD,-,CHARLOTTE,NC,28210,Mecklenburg,(704) 355-4602,4,Brain disease or condition (non-traumatic),36,-
34T098,CAROLINAS MEDICAL CENTER - PINEVILLE REHABILITATIO,10628 PARK ROAD,-,CHARLOTTE,NC,28210,Mecklenburg,(704) 355-4602,4,Brain injury (traumatic),26,-
34T098,CAROLINAS MEDICAL CENTER - PINEVILLE REHABILITATIO,10628 PARK ROAD,-,CHARLOTTE,NC,28210,Mecklenburg,(704) 355-4602,4,Hip or femur fracture,31,-
34T098,CAROLINAS MEDICAL CENTER - PINEVILLE REHABILITATIO,10628 PARK ROAD,-,CHARLOTTE,NC,28210,Mecklenburg,(704) 355-4602,4,"Hip or knee replacement, amputation or other bone or joint condition",56,-
