County,Year,Hispanic/Race,Sex,Age Group,Value,Estimate/Projection,vintage,fips
McDowell,2025,NHWhite,Male,Population Age 35-39,1225,Projection,2024,37111
McDowell,2025,Hispanic,Female,Population Age 20-24,200,Projection,2024,37111
McDowell,2025,NHOther,Female,Population Age 00-04,94,Projection,2024,37111
Durham,2025,Hispanic,Female,Population Age 75-79,242,Projection,2024,37063
Camden,2025,NHWhite,Female,Population Age 15-19,290,Projection,2024,37029
Camden,2025,NHWhite,Female,Population Age 20-24,235,Projection,2024,37029
Camden,2025,Hispanic,Female,Population Age 15-19,17,Projection,2024,37029
Camden,2025,NHOther,Male,Population Age 70-74,59,Projection,2024,37029
Gates,2025,NHWhite,Female,Population Age 20-24,135,Projection,2024,37073
Gates,2025,NHWhite,Male,Population Age 30-34,176,Projection,2024,37073
Mitchell,2025,Hispanic,Female,Population Age 85+,2,Projection,2024,37121
Duplin,2025,NHWhite,Male,Population Age 50-54,867,Projection,2024,37061
Duplin,2025,Hispanic,Female,Population Age 10-14,532,Projection,2024,37061
Jones,2025,NHWhite,Female,Population Age 20-24,114,Projection,2024,37103
Hoke,2025,NHWhite,Female,Population Age 05-09,638,Projection,2024,37093
Hoke,2025,Hispanic,Female,Population Age 55-59,149,Projection,2024,37093
Hoke,2025,NHOther,Female,Population Age 55-59,844,Projection,2024,37093
Hyde,2025,NHWhite,Male,Population Age 50-54,133,Projection,2024,37095
Hyde,2025,Hispanic,Female,Population Age 35-39,7,Projection,2024,37095
Hyde,2025,Hispanic,Male,Population Age 05-09,8,Projection,2024,37095
Hyde,2025,NHOther,Female,Population Age 80-84,26,Projection,2024,37095
Buncombe,2025,NHWhite,Female,Population Age 45-49,7582,Projection,2024,37021
Buncombe,2025,NHWhite,Male,Population Age 05-09,4749,Projection,2024,37021
Buncombe,2025,Hispanic,Female,Population Age 20-24,1027,Projection,2024,37021
Buncombe,2025,Hispanic,Female,Population Age 35-39,725,Projection,2024,37021
Duplin,2025,NHWhite,Female,Population Age 20-24,594,Projection,2024,37061
Duplin,2025,NHOther,Female,Population Age 20-24,329,Projection,2024,37061
Greene,2025,NHOther,Female,Population Age 55-59,187,Projection,2024,37079
Alamance,2025,Hispanic,Male,Population Age 10-14,1539,Projection,2024,37001
Moore,2025,NHOther,Female,Population Age 15-19,637,Projection,2024,37125
Hoke,2025,NHWhite,Male,Population Age 85+,82,Projection,2024,37093
Martin,2025,NHOther,Male,Population Age 20-24,204,Projection,2024,37117
Hertford,2025,NHWhite,Male,Population Age 80-84,91,Projection,2024,37091
Johnston,2025,NHWhite,Female,Population Age 85+,1376,Projection,2024,37101
Johnston,2025,NHOther,Female,Population Age 10-14,1804,Projection,2024,37101
Durham,2025,NHWhite,Male,Population Age 25-29,4900,Projection,2024,37063
Durham,2025,NHWhite,Male,Population Age 85+,1069,Projection,2024,37063
Jackson,2025,Hispanic,Female,Population Age 00-04,174,Projection,2024,37099
Alexander,2025,NHWhite,Male,Population Age 65-69,1026,Projection,2024,37003
Lee,2025,Hispanic,Male,Population Age 15-19,916,Projection,2024,37105
Lenoir,2025,NHWhite,Female,Population Age 15-19,814,Projection,2024,37107
Alexander,2025,NHWhite,Male,Population Age 80-84,367,Projection,2024,37003
Lincoln,2025,NHWhite,Male,Population Age 70-74,2270,Projection,2024,37109
Lincoln,2025,Hispanic,Female,Population Age 60-64,155,Projection,2024,37109
Alleghany,2025,Hispanic,Male,Population Age 45-49,81,Projection,2024,37005
Lenoir,2025,NHWhite,Male,Population Age 50-54,763,Projection,2024,37107
Alleghany,2025,NHOther,Female,Population Age 65-69,17,Projection,2024,37005
Johnston,2025,NHWhite,Female,Population Age 25-29,4164,Projection,2024,37101
Johnston,2025,Hispanic,Female,Population Age 25-29,1362,Projection,2024,37101
Harnett,2025,NHOther,Female,Population Age 85+,289,Projection,2024,37085
Jones,2025,NHWhite,Female,Population Age 10-14,137,Projection,2024,37103
Jones,2025,NHOther,Female,Population Age 65-69,170,Projection,2024,37103
Macon,2025,NHWhite,Female,Population Age 70-74,1691,Projection,2024,37113
Macon,2025,NHWhite,Male,Population Age 10-14,881,Projection,2024,37113
Macon,2025,NHWhite,Male,Population Age 20-24,580,Projection,2024,37113
Currituck,2025,NHOther,Male,Population Age 30-34,135,Projection,2024,37053
Alamance,2025,NHWhite,Male,Population Age 10-14,2637,Projection,2024,37001
Alamance,2025,Hispanic,Female,Population Age 65-69,337,Projection,2024,37001
Alleghany,2025,NHWhite,Female,Population Age 00-04,180,Projection,2024,37005
Alleghany,2025,NHWhite,Female,Population Age 30-34,331,Projection,2024,37005
Alleghany,2025,NHWhite,Female,Population Age 85+,220,Projection,2024,37005
Alleghany,2025,Hispanic,Male,Population Age 85+,5,Projection,2024,37005
Mitchell,2025,NHWhite,Female,Population Age 10-14,287,Projection,2024,37121
Mitchell,2025,NHWhite,Female,Population Age 50-54,383,Projection,2024,37121
Camden,2025,NHWhite,Female,Population Age 25-29,214,Projection,2024,37029
Alleghany,2025,NHWhite,Male,Population Age 25-29,164,Projection,2024,37005
Alleghany,2025,Hispanic,Male,Population Age 65-69,27,Projection,2024,37005
Alleghany,2025,NHOther,Male,Population Age 65-69,13,Projection,2024,37005
Johnston,2025,NHWhite,Female,Population Age 75-79,3358,Projection,2024,37101
Johnston,2025,NHWhite,Male,Population Age 55-59,5458,Projection,2024,37101
New Hanover,2025,Hispanic,Female,Population Age 75-79,123,Projection,2024,37129
New Hanover,2025,NHOther,Male,Population Age 65-69,1214,Projection,2024,37129
Beaufort,2025,NHWhite,Female,Population Age 25-29,721,Projection,2024,37013
Graham,2025,NHWhite,Female,Population Age 10-14,153,Projection,2024,37075
Graham,2025,NHWhite,Female,Population Age 25-29,121,Projection,2024,37075
Graham,2025,Hispanic,Male,Population Age 25-29,10,Projection,2024,37075
Granville,2025,NHWhite,Male,Population Age 50-54,1286,Projection,2024,37077
Granville,2025,Hispanic,Female,Population Age 35-39,151,Projection,2024,37077
Dare,2025,NHWhite,Female,Population Age 25-29,796,Projection,2024,37055
Dare,2025,NHWhite,Male,Population Age 85+,355,Projection,2024,37055
Davidson,2025,Hispanic,Male,Population Age 65-69,199,Projection,2024,37057
Mitchell,2025,NHOther,Female,Population Age 15-19,24,Projection,2024,37121
Clay,2025,NHWhite,Female,Population Age 80-84,290,Projection,2024,37043
Clay,2025,NHWhite,Male,Population Age 40-44,277,Projection,2024,37043
Carteret,2025,Hispanic,Male,Population Age 85+,9,Projection,2024,37031
Mecklenburg,2025,Hispanic,Male,Population Age 80-84,326,Projection,2024,37119
Mecklenburg,2025,NHOther,Female,Population Age 00-04,13917,Projection,2024,37119
Cleveland,2025,NHWhite,Female,Population Age 70-74,2156,Projection,2024,37045
Cleveland,2025,NHWhite,Male,Population Age 15-19,2332,Projection,2024,37045
Cleveland,2025,NHWhite,Male,Population Age 65-69,2192,Projection,2024,37045
Cleveland,2025,Hispanic,Male,Population Age 65-69,44,Projection,2024,37045
Northampton,2025,Hispanic,Female,Population Age 35-39,7,Projection,2024,37131
Northampton,2025,Hispanic,Male,Population Age 50-54,11,Projection,2024,37131
Northampton,2025,NHOther,Male,Population Age 80-84,102,Projection,2024,37131
Hoke,2025,NHOther,Female,Population Age 75-79,432,Projection,2024,37093
Davie,2025,NHWhite,Male,Population Age 05-09,927,Projection,2024,37059
Hoke,2025,NHWhite,Female,Population Age 45-49,541,Projection,2024,37093
Hoke,2025,NHOther,Female,Population Age 65-69,854,Projection,2024,37093
Mitchell,2025,NHWhite,Male,Population Age 70-74,453,Projection,2024,37121
Mitchell,2025,Hispanic,Female,Population Age 05-09,15,Projection,2024,37121
Mitchell,2025,Hispanic,Male,Population Age 20-24,25,Projection,2024,37121
Mitchell,2025,NHOther,Male,Population Age 80-84,9,Projection,2024,37121
Anson,2025,NHOther,Female,Population Age 65-69,316,Projection,2024,37007
Cumberland,2025,NHWhite,Female,Population Age 75-79,2435,Projection,2024,37051
Cumberland,2025,NHOther,Male,Population Age 20-24,6425,Projection,2024,37051
Currituck,2025,NHWhite,Female,Population Age 00-04,640,Projection,2024,37053
Robeson,2025,Hispanic,Female,Population Age 10-14,897,Projection,2024,37155
Currituck,2025,NHWhite,Female,Population Age 85+,173,Projection,2024,37053
Currituck,2025,NHOther,Male,Population Age 35-39,94,Projection,2024,37053
Hoke,2025,NHWhite,Male,Population Age 20-24,589,Projection,2024,37093
Hyde,2025,NHWhite,Male,Population Age 65-69,142,Projection,2024,37095
Catawba,2025,Hispanic,Female,Population Age 55-59,451,Projection,2024,37035
Alamance,2025,NHWhite,Male,Population Age 35-39,3096,Projection,2024,37001
Alamance,2025,Hispanic,Female,Population Age 05-09,1224,Projection,2024,37001
Franklin,2025,NHWhite,Female,Population Age 60-64,2200,Projection,2024,37069
Pitt,2025,NHWhite,Male,Population Age 35-39,2203,Projection,2024,37147
Johnston,2025,NHOther,Male,Population Age 40-44,1871,Projection,2024,37101
Martin,2025,NHWhite,Female,Population Age 20-24,261,Projection,2024,37117
Martin,2025,Hispanic,Male,Population Age 00-04,72,Projection,2024,37117
Hyde,2025,NHOther,Male,Population Age 15-19,26,Projection,2024,37095
Polk,2025,NHOther,Female,Population Age 75-79,46,Projection,2024,37149
Jones,2025,Hispanic,Male,Population Age 75-79,0,Projection,2024,37103
Brunswick,2025,Hispanic,Male,Population Age 15-19,489,Projection,2024,37019
Macon,2025,Hispanic,Male,Population Age 05-09,277,Projection,2024,37113
Buncombe,2025,NHWhite,Female,Population Age 05-09,4532,Projection,2024,37021
Buncombe,2025,Hispanic,Male,Population Age 65-69,287,Projection,2024,37021
Guilford,2025,NHWhite,Female,Population Age 25-29,6323,Projection,2024,37081
Guilford,2025,NHOther,Female,Population Age 15-19,10407,Projection,2024,37081
Camden,2025,NHOther,Female,Population Age 45-49,46,Projection,2024,37029
Cumberland,2025,NHWhite,Female,Population Age 35-39,5505,Projection,2024,37051
Cumberland,2025,NHOther,Female,Population Age 55-59,4666,Projection,2024,37051
Jones,2025,Hispanic,Male,Population Age 05-09,19,Projection,2024,37103
Randolph,2025,Hispanic,Female,Population Age 65-69,184,Projection,2024,37151
Randolph,2025,NHOther,Male,Population Age 15-19,582,Projection,2024,37151
Cumberland,2025,NHWhite,Male,Population Age 60-64,3360,Projection,2024,37051
Cumberland,2025,Hispanic,Male,Population Age 30-34,1516,Projection,2024,37051
McDowell,2025,NHWhite,Female,Population Age 00-04,705,Projection,2024,37111
McDowell,2025,NHWhite,Female,Population Age 30-34,1182,Projection,2024,37111
McDowell,2025,Hispanic,Male,Population Age 80-84,7,Projection,2024,37111
McDowell,2025,NHOther,Female,Population Age 70-74,133,Projection,2024,37111
McDowell,2025,NHOther,Male,Population Age 15-19,99,Projection,2024,37111
Currituck,2025,NHWhite,Male,Population Age 00-04,724,Projection,2024,37053
Cherokee,2025,NHOther,Male,Population Age 75-79,79,Projection,2024,37039
Gates,2025,NHWhite,Female,Population Age 70-74,191,Projection,2024,37073
Carteret,2025,NHWhite,Male,Population Age 70-74,2520,Projection,2024,37031
Iredell,2025,NHWhite,Male,Population Age 80-84,1665,Projection,2024,37097
Cleveland,2025,NHWhite,Male,Population Age 35-39,2108,Projection,2024,37045
Cleveland,2025,NHWhite,Male,Population Age 50-54,2096,Projection,2024,37045
Duplin,2025,NHWhite,Male,Population Age 10-14,710,Projection,2024,37061
Franklin,2025,NHWhite,Female,Population Age 70-74,1633,Projection,2024,37069
Franklin,2025,NHOther,Male,Population Age 85+,139,Projection,2024,37069
Gaston,2025,NHOther,Male,Population Age 80-84,242,Projection,2024,37071
Buncombe,2025,NHOther,Female,Population Age 70-74,976,Projection,2024,37021
Onslow,2025,NHOther,Female,Population Age 80-84,316,Projection,2024,37133
Onslow,2025,NHOther,Male,Population Age 85+,138,Projection,2024,37133
Ashe,2025,Hispanic,Female,Population Age 50-54,56,Projection,2024,37009
Ashe,2025,Hispanic,Male,Population Age 65-69,16,Projection,2024,37009
Avery,2025,NHOther,Female,Population Age 45-49,26,Projection,2024,37011
Catawba,2025,Hispanic,Female,Population Age 00-04,1022,Projection,2024,37035
Catawba,2025,NHOther,Female,Population Age 00-04,904,Projection,2024,37035
Richmond,2025,NHOther,Female,Population Age 70-74,424,Projection,2024,37153
Beaufort,2025,NHWhite,Male,Population Age 10-14,656,Projection,2024,37013
Martin,2025,NHWhite,Male,Population Age 65-69,425,Projection,2024,37117
Columbus,2025,NHWhite,Female,Population Age 35-39,681,Projection,2024,37047
Columbus,2025,Hispanic,Female,Population Age 50-54,61,Projection,2024,37047
Columbus,2025,Hispanic,Male,Population Age 20-24,106,Projection,2024,37047
Buncombe,2025,NHWhite,Female,Population Age 40-44,8197,Projection,2024,37021
Buncombe,2025,Hispanic,Male,Population Age 80-84,46,Projection,2024,37021
Buncombe,2025,NHOther,Male,Population Age 25-29,1068,Projection,2024,37021
Craven,2025,NHWhite,Female,Population Age 80-84,1439,Projection,2024,37049
Craven,2025,NHWhite,Male,Population Age 75-79,1491,Projection,2024,37049
Craven,2025,NHOther,Male,Population Age 00-04,980,Projection,2024,37049
Craven,2025,NHOther,Male,Population Age 55-59,674,Projection,2024,37049
Greene,2025,NHWhite,Female,Population Age 20-24,216,Projection,2024,37079
Burke,2025,NHWhite,Female,Population Age 30-34,2370,Projection,2024,37023
Burke,2025,NHWhite,Male,Population Age 10-14,1654,Projection,2024,37023
Burke,2025,NHOther,Female,Population Age 85+,103,Projection,2024,37023
Alamance,2025,NHWhite,Male,Population Age 05-09,2590,Projection,2024,37001
Alamance,2025,Hispanic,Female,Population Age 45-49,970,Projection,2024,37001
Alamance,2025,NHOther,Male,Population Age 65-69,1103,Projection,2024,37001
Guilford,2025,NHOther,Female,Population Age 70-74,4960,Projection,2024,37081
Avery,2025,NHWhite,Male,Population Age 05-09,275,Projection,2024,37011
Onslow,2025,NHWhite,Female,Population Age 10-14,4368,Projection,2024,37133
Onslow,2025,NHWhite,Female,Population Age 65-69,2784,Projection,2024,37133
Onslow,2025,NHWhite,Male,Population Age 75-79,1580,Projection,2024,37133
Davie,2025,NHWhite,Male,Population Age 15-19,1245,Projection,2024,37059
Davie,2025,NHOther,Male,Population Age 05-09,157,Projection,2024,37059
Orange,2025,NHWhite,Female,Population Age 70-74,2993,Projection,2024,37135
Orange,2025,Hispanic,Male,Population Age 30-34,466,Projection,2024,37135
Durham,2025,Hispanic,Female,Population Age 10-14,2750,Projection,2024,37063
Pender,2025,Hispanic,Female,Population Age 00-04,349,Projection,2024,37141
Avery,2025,Hispanic,Female,Population Age 25-29,29,Projection,2024,37011
Avery,2025,NHOther,Male,Population Age 10-14,15,Projection,2024,37011
Cabarrus,2025,NHWhite,Female,Population Age 65-69,4610,Projection,2024,37025
Cabarrus,2025,Hispanic,Male,Population Age 35-39,739,Projection,2024,37025
Cabarrus,2025,Hispanic,Male,Population Age 45-49,983,Projection,2024,37025
Madison,2025,NHWhite,Female,Population Age 55-59,668,Projection,2024,37115
Madison,2025,Hispanic,Female,Population Age 05-09,70,Projection,2024,37115
Lee,2025,NHWhite,Female,Population Age 05-09,891,Projection,2024,37105
Northampton,2025,NHWhite,Male,Population Age 00-04,161,Projection,2024,37131
Rowan,2025,NHOther,Female,Population Age 30-34,1140,Projection,2024,37159
Clay,2025,Hispanic,Male,Population Age 10-14,41,Projection,2024,37043
Clay,2025,NHOther,Female,Population Age 40-44,21,Projection,2024,37043
Clay,2025,NHOther,Female,Population Age 65-69,0,Projection,2024,37043
Johnston,2025,NHWhite,Female,Population Age 65-69,5140,Projection,2024,37101
Johnston,2025,NHOther,Male,Population Age 10-14,2012,Projection,2024,37101
Alexander,2025,NHWhite,Male,Population Age 75-79,642,Projection,2024,37003
Camden,2025,NHOther,Male,Population Age 55-59,45,Projection,2024,37029
Columbus,2025,Hispanic,Male,Population Age 30-34,65,Projection,2024,37047
Columbus,2025,NHOther,Female,Population Age 00-04,431,Projection,2024,37047
Orange,2025,Hispanic,Male,Population Age 65-69,193,Projection,2024,37135
Carteret,2025,NHWhite,Female,Population Age 00-04,937,Projection,2024,37031
Chowan,2025,NHWhite,Male,Population Age 55-59,248,Projection,2024,37041
Chowan,2025,Hispanic,Male,Population Age 00-04,18,Projection,2024,37041
Person,2025,Hispanic,Female,Population Age 30-34,66,Projection,2024,37145
Gates,2025,NHOther,Female,Population Age 35-39,86,Projection,2024,37073
Lee,2025,Hispanic,Female,Population Age 50-54,485,Projection,2024,37105
Lee,2025,Hispanic,Female,Population Age 60-64,275,Projection,2024,37105
Bertie,2025,Hispanic,Female,Population Age 20-24,10,Projection,2024,37015
Bertie,2025,NHOther,Female,Population Age 40-44,203,Projection,2024,37015
Graham,2025,Hispanic,Female,Population Age 25-29,3,Projection,2024,37075
Graham,2025,NHOther,Male,Population Age 20-24,47,Projection,2024,37075
Lenoir,2025,NHWhite,Female,Population Age 45-49,685,Projection,2024,37107
Lenoir,2025,NHWhite,Male,Population Age 45-49,603,Projection,2024,37107
Lenoir,2025,Hispanic,Female,Population Age 15-19,211,Projection,2024,37107
McDowell,2025,NHWhite,Female,Population Age 80-84,634,Projection,2024,37111
McDowell,2025,NHWhite,Male,Population Age 00-04,811,Projection,2024,37111
McDowell,2025,NHOther,Female,Population Age 40-44,117,Projection,2024,37111
Bertie,2025,NHWhite,Female,Population Age 50-54,178,Projection,2024,37015
Bertie,2025,Hispanic,Female,Population Age 15-19,8,Projection,2024,37015
Bertie,2025,Hispanic,Female,Population Age 25-29,10,Projection,2024,37015
Bertie,2025,Hispanic,Male,Population Age 55-59,2,Projection,2024,37015
Bladen,2025,Hispanic,Male,Population Age 05-09,166,Projection,2024,37017
Duplin,2025,NHWhite,Male,Population Age 55-59,807,Projection,2024,37061
Lincoln,2025,NHOther,Male,Population Age 45-49,365,Projection,2024,37109
Gates,2025,Hispanic,Male,Population Age 60-64,8,Projection,2024,37073
Jones,2025,NHWhite,Male,Population Age 65-69,232,Projection,2024,37103
Sampson,2025,NHWhite,Female,Population Age 40-44,1026,Projection,2024,37163
Graham,2025,Hispanic,Male,Population Age 40-44,5,Projection,2024,37075
Alleghany,2025,NHWhite,Female,Population Age 80-84,224,Projection,2024,37005
Granville,2025,NHWhite,Male,Population Age 65-69,1432,Projection,2024,37077
Granville,2025,NHOther,Female,Population Age 65-69,575,Projection,2024,37077
Duplin,2025,Hispanic,Female,Population Age 50-54,307,Projection,2024,37061
Moore,2025,NHWhite,Female,Population Age 10-14,2440,Projection,2024,37125
Craven,2025,NHOther,Female,Population Age 05-09,915,Projection,2024,37049
Guilford,2025,NHWhite,Male,Population Age 30-34,7244,Projection,2024,37081
Guilford,2025,NHWhite,Male,Population Age 85+,2477,Projection,2024,37081
Guilford,2025,NHOther,Female,Population Age 60-64,7416,Projection,2024,37081
Halifax,2025,NHOther,Male,Population Age 80-84,231,Projection,2024,37083
Craven,2025,NHWhite,Male,Population Age 80-84,851,Projection,2024,37049
Craven,2025,Hispanic,Male,Population Age 80-84,7,Projection,2024,37049
Craven,2025,NHOther,Female,Population Age 60-64,878,Projection,2024,37049
Buncombe,2025,NHWhite,Female,Population Age 50-54,7176,Projection,2024,37021
Lincoln,2025,NHWhite,Female,Population Age 10-14,2312,Projection,2024,37109
Lincoln,2025,NHWhite,Female,Population Age 60-64,3369,Projection,2024,37109
Lincoln,2025,NHOther,Male,Population Age 20-24,276,Projection,2024,37109
McDowell,2025,NHWhite,Male,Population Age 30-34,1258,Projection,2024,37111
McDowell,2025,Hispanic,Female,Population Age 75-79,17,Projection,2024,37111
Burke,2025,NHWhite,Female,Population Age 10-14,1526,Projection,2024,37023
Burke,2025,Hispanic,Male,Population Age 10-14,477,Projection,2024,37023
Lee,2025,NHWhite,Female,Population Age 10-14,1021,Projection,2024,37105
Lee,2025,NHWhite,Female,Population Age 30-34,1193,Projection,2024,37105
Lee,2025,NHOther,Female,Population Age 75-79,264,Projection,2024,37105
Alamance,2025,NHWhite,Female,Population Age 50-54,3474,Projection,2024,37001
Durham,2025,NHOther,Male,Population Age 10-14,3736,Projection,2024,37063
Currituck,2025,NHWhite,Male,Population Age 10-14,944,Projection,2024,37053
Currituck,2025,Hispanic,Male,Population Age 05-09,74,Projection,2024,37053
Bladen,2025,NHWhite,Female,Population Age 55-59,565,Projection,2024,37017
Bladen,2025,NHOther,Female,Population Age 25-29,297,Projection,2024,37017
Graham,2025,NHWhite,Male,Population Age 50-54,217,Projection,2024,37075
Graham,2025,NHOther,Male,Population Age 30-34,41,Projection,2024,37075
Cabarrus,2025,Hispanic,Male,Population Age 20-24,1614,Projection,2024,37025
Tyrrell,2025,NHWhite,Male,Population Age 85+,32,Projection,2024,37177
Tyrrell,2025,Hispanic,Female,Population Age 65-69,4,Projection,2024,37177
Tyrrell,2025,Hispanic,Male,Population Age 30-34,4,Projection,2024,37177
Tyrrell,2025,Hispanic,Male,Population Age 85+,0,Projection,2024,37177
Tyrrell,2025,NHOther,Male,Population Age 80-84,12,Projection,2024,37177
Camden,2025,NHWhite,Female,Population Age 80-84,120,Projection,2024,37029
Camden,2025,Hispanic,Female,Population Age 60-64,14,Projection,2024,37029
Dare,2025,Hispanic,Female,Population Age 30-34,53,Projection,2024,37055
Dare,2025,NHOther,Male,Population Age 00-04,50,Projection,2024,37055
Granville,2025,Hispanic,Female,Population Age 10-14,354,Projection,2024,37077
Granville,2025,Hispanic,Male,Population Age 40-44,299,Projection,2024,37077
Union,2025,Hispanic,Male,Population Age 60-64,661,Projection,2024,37179
Rockingham,2025,NHWhite,Female,Population Age 70-74,2221,Projection,2024,37157
Rockingham,2025,NHWhite,Male,Population Age 50-54,2044,Projection,2024,37157
Rockingham,2025,Hispanic,Female,Population Age 55-59,122,Projection,2024,37157
Rockingham,2025,NHOther,Female,Population Age 85+,279,Projection,2024,37157
Rockingham,2025,NHOther,Male,Population Age 50-54,602,Projection,2024,37157
Davidson,2025,NHOther,Female,Population Age 20-24,770,Projection,2024,37057
Davidson,2025,NHOther,Male,Population Age 25-29,967,Projection,2024,37057
Nash,2025,Hispanic,Male,Population Age 70-74,54,Projection,2024,37127
Johnston,2025,NHWhite,Male,Population Age 60-64,5198,Projection,2024,37101
Johnston,2025,NHWhite,Male,Population Age 65-69,4454,Projection,2024,37101
Martin,2025,Hispanic,Female,Population Age 20-24,31,Projection,2024,37117
Caswell,2025,Hispanic,Male,Population Age 30-34,66,Projection,2024,37033
Caswell,2025,NHOther,Male,Population Age 05-09,140,Projection,2024,37033
Graham,2025,NHWhite,Male,Population Age 45-49,190,Projection,2024,37075
Graham,2025,NHWhite,Male,Population Age 80-84,125,Projection,2024,37075
Harnett,2025,Hispanic,Female,Population Age 65-69,219,Projection,2024,37085
Harnett,2025,NHOther,Female,Population Age 35-39,1843,Projection,2024,37085
Catawba,2025,Hispanic,Male,Population Age 20-24,1003,Projection,2024,37035
Montgomery,2025,NHOther,Male,Population Age 10-14,166,Projection,2024,37123
Dare,2025,NHWhite,Female,Population Age 15-19,810,Projection,2024,37055
Dare,2025,NHWhite,Female,Population Age 20-24,655,Projection,2024,37055
Dare,2025,NHWhite,Male,Population Age 65-69,1545,Projection,2024,37055
Northampton,2025,NHOther,Female,Population Age 15-19,254,Projection,2024,37131
Anson,2025,Hispanic,Male,Population Age 85+,1,Projection,2024,37007
Anson,2025,NHWhite,Male,Population Age 00-04,292,Projection,2024,37007
Anson,2025,Hispanic,Male,Population Age 05-09,49,Projection,2024,37007
Pitt,2025,Hispanic,Male,Population Age 60-64,231,Projection,2024,37147
Anson,2025,NHOther,Female,Population Age 35-39,333,Projection,2024,37007
Moore,2025,NHOther,Male,Population Age 00-04,503,Projection,2024,37125
Lenoir,2025,NHOther,Male,Population Age 65-69,763,Projection,2024,37107
Brunswick,2025,Hispanic,Female,Population Age 30-34,268,Projection,2024,37019
Brunswick,2025,Hispanic,Male,Population Age 65-69,320,Projection,2024,37019
Ashe,2025,Hispanic,Male,Population Age 45-49,47,Projection,2024,37009
Polk,2025,Hispanic,Female,Population Age 70-74,6,Projection,2024,37149
Jones,2025,Hispanic,Male,Population Age 70-74,5,Projection,2024,37103
Buncombe,2025,NHOther,Male,Population Age 35-39,1289,Projection,2024,37021
Lincoln,2025,NHWhite,Male,Population Age 25-29,1865,Projection,2024,37109
Cumberland,2025,NHWhite,Male,Population Age 00-04,4196,Projection,2024,37051
Hertford,2025,NHWhite,Male,Population Age 00-04,120,Projection,2024,37091
Hertford,2025,NHOther,Male,Population Age 50-54,214,Projection,2024,37091
Cabarrus,2025,NHOther,Male,Population Age 15-19,2858,Projection,2024,37025
